size,ijk_float,jki_float,kij_float,ijk_double,jki_double,kij_double
267,2.18682e+09,2.16928e+09,1.48063e+09,1.76874e+09,1.94031e+09,1.38651e+09
268,2.16539e+09,2.13122e+09,1.31646e+09,1.87596e+09,1.75916e+09,1.3372e+09
269,1.89733e+09,1.79791e+09,1.46023e+09,2.00975e+09,1.77041e+09,1.36726e+09
270,2.25772e+09,1.86704e+09,1.63343e+09,1.81898e+09,1.85377e+09,1.36359e+09
271,2.06898e+09,2.10568e+09,1.63622e+09,1.91304e+09,1.59241e+09,1.52857e+09
272,2.35426e+09,1.92614e+09,1.36367e+09,1.94046e+09,1.84161e+09,1.38077e+09
273,2.57671e+09,2.13185e+09,1.51322e+09,2.19315e+09,1.7557e+09,1.60429e+09
274,2.17406e+09,2.06127e+09,1.49408e+09,2.1461e+09,1.87732e+09,1.5522e+09
275,2.34127e+09,2.23722e+09,1.53907e+09,1.92777e+09,1.85713e+09,1.51272e+09
276,2.26727e+09,2.00086e+09,1.4653e+09,2.02714e+09,1.89268e+09,1.62056e+09
277,2.26875e+09,2.11158e+09,1.62994e+09,1.90768e+09,2.24061e+09,1.5439e+09
278,2.41322e+09,2.11509e+09,1.65512e+09,2.00722e+09,1.87654e+09,1.51591e+09
279,2.30318e+09,2.01938e+09,1.75417e+09,1.97221e+09,1.87958e+09,1.51986e+09
280,2.48527e+09,2.04721e+09,1.57372e+09,2.20091e+09,1.97224e+09,1.52867e+09
281,2.56991e+09,2.05223e+09,1.5559e+09,2.31783e+09,2.11402e+09,1.57129e+09
282,2.4385e+09,2.13027e+09,1.62197e+09,2.09594e+09,1.83101e+09,1.70186e+09
283,2.59502e+09,1.99163e+09,1.60371e+09,2.42183e+09,2.17384e+09,1.4849e+09
284,2.50022e+09,2.03967e+09,1.74144e+09,2.10299e+09,1.98889e+09,1.53993e+09
285,2.21588e+09,2.24635e+09,1.78787e+09,2.10489e+09,2.23818e+09,1.57587e+09
286,2.29319e+09,2.40665e+09,1.57022e+09,2.25828e+09,1.86221e+09,1.57026e+09
287,2.37041e+09,2.30867e+09,1.74445e+09,2.22533e+09,2.15906e+09,1.6762e+09
288,2.46627e+09,2.11787e+09,1.54084e+09,2.24856e+09,2.36412e+09,1.93635e+09
289,2.7568e+09,2.27015e+09,1.8971e+09,2.54455e+09,2.03354e+09,1.55498e+09
290,2.79033e+09,2.3696e+09,1.72362e+09,2.63163e+09,2.00286e+09,1.82938e+09
291,2.39323e+09,2.25411e+09,1.79682e+09,2.27769e+09,2.25458e+09,1.57732e+09
292,2.66981e+09,2.28778e+09,1.67108e+09,2.29783e+09,2.14651e+09,2.00815e+09
293,2.59555e+09,2.37032e+09,1.8672e+09,2.48875e+09,1.94557e+09,1.75897e+09
294,2.43248e+09,2.31827e+09,2.01583e+09,2.43037e+09,2.19349e+09,1.73888e+09
295,2.64456e+09,2.49361e+09,1.67724e+09,2.46846e+09,2.19668e+09,1.8503e+09
296,2.69669e+09,2.55452e+09,1.85431e+09,2.58791e+09,2.24749e+09,1.73573e+09
297,2.74625e+09,2.40588e+09,2.05971e+09,2.45451e+09,2.44005e+09,1.9756e+09
298,2.60198e+09,2.4658e+09,1.76972e+09,2.52763e+09,2.31538e+09,1.82517e+09
299,2.59948e+09,2.5238e+09,1.91876e+09,2.50689e+09,2.4907e+09,1.86222e+09
300,2.72203e+09,2.61542e+09,1.58544e+09,2.40893e+09,2.39716e+09,1.89215e+09
301,2.82517e+09,2.50325e+09,2.10416e+09,2.82568e+09,2.19786e+09,1.91987e+09
302,2.73751e+09,2.75182e+09,1.94376e+09,2.56467e+09,2.4182e+09,1.6581e+09
303,2.90591e+09,2.54264e+09,1.94857e+09,2.52334e+09,2.49014e+09,1.83223e+09
304,2.94637e+09,2.59598e+09,2.16352e+09,2.47746e+09,2.33831e+09,1.77743e+09
305,2.9505e+09,2.59761e+09,2.34448e+09,2.5839e+09,2.23964e+09,2.0719e+09
